produto;unidade;posicao;peso;tipo;compras;usada_por_codigo;classificacao;motivo
"001.017.690";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.691";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.693";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.693";"PC";"2";"1";"Fator";"true";"false";"suportada";""
"001.017.699";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.699";"KG";"2";"1";"Fator";"true";"false";"suportada";""
"001.018.022";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.018.070";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.018.071";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.018.072";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.018.075";"UNID";"1";"1";"Fator";"true";"true";"suportada";""
"001.018.076";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.018.083";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"002.005";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"002.007";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"002.009";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"002.010";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"002.012";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"002.015";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"002.023";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"002.025";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"002.027";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"002.030";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"002.031";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"002.036";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"002.038";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"002.040";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"002.042";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"002.043";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"002.046";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"002.047";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"002.049";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"002.050";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"002.054";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"002.057";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"002.058";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"002.059";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
